ROWID,COMPID,SUB,LEAD01,LEAD02,LEAD03,LEAD04,LEAD05,LEAD06,LEAD07,LEAD08,LEAD09,LEAD10,LEAD11,TSIG01,TSIG02,TSIG03,HOSTIL01,HOSTIL02,HOSTIL03,HOSTIL04,HOSTIL05,LEAD,TSIG,HOSTILE,GLEAD,GTSIG,GHOSTILE
14,2,14,4,4,4,4,4,4,3,4,4,4,4,4,4,4,0,0,0,0,0,3.909090909,4,0,2.882575758,3.541666667,1.041666667
15,2,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,2,1,1,3.6,2.882575758,3.541666667,1.041666667
16,2,16,2,1,2,4,3,3,5,2,4,2,2,1,5,4,3,0,0,0,0,2.727272727,3.333333333,.6,2.882575758,3.541666667,1.041666667
17,2,17,4,5,3,5,3,5,3,5,1,5,4,4,4,5,1,0,0,0,0,3.909090909,4.333333333,.2,2.882575758,3.541666667,1.041666667
18,2,18,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,0,2.882575758,3.541666667,1.041666667
19,2,19,4,5,1,1,1,4,1,1,1,4,1,1,5,5,4,0,4,4,4,2.181818182,3.666666667,3.2,2.882575758,3.541666667,1.041666667
20,2,20,4,4,4,5,2,2,3,3,4,4,4,5,5,5,3,1,2,3,2,3.545454545,5,2.2,2.882575758,3.541666667,1.041666667
21,2,21,4,2,2,1,2,2,2,2,2,1,2,1,4,4,4,4,2,2,3,2,3,3,2.882575758,3.541666667,1.041666667
22,2,22,3,4,4,4,3,4,3,4,2,4,3,4,4,4,1,1,0,0,0,3.454545455,4,.4,2.882575758,3.541666667,1.041666667
23,2,23,2,3,2,2,3,4,1,4,1,3,3,2,3,3,3,3,3,1,1,2.545454545,2.666666667,2.2,2.882575758,3.541666667,1.041666667
24,2,24,4,4,4,3,3,4,3,3,4,4,3,4,4,4,0,0,0,0,0,3.545454545,4,0,2.882575758,3.541666667,1.041666667
25,3,25,5,5,4,4,3,5,3,5,3,4,4,4,4,5,2,0,0,0,0,4.090909091,4.333333333,.4,2.948402948,3.468468468,.654054054
26,3,26,3,4,1,3,1,4,3,3,3,3,3,3,3,3,0,0,0,0,0,2.818181818,3,0,2.948402948,3.468468468,.654054054
27,3,27,4,4,1,2,3,5,3,1,3,3,2,3,4,5,0,0,0,0,0,2.818181818,4,0,2.948402948,3.468468468,.654054054
28,3,28,2,2,3,5,2,3,2,4,2,4,3,3,4,4,0,0,0,0,0,2.909090909,3.666666667,0,2.948402948,3.468468468,.654054054
29,3,29,2,3,3,2,1,2,2,3,3,3,3,3,3,3,0,1,1,1,0,2.454545455,3,.6,2.948402948,3.468468468,.654054054
30,3,30,3,4,3,4,2,4,2,4,2,4,3,4,4,4,1,1,1,1,1,3.181818182,4,1,2.948402948,3.468468468,.654054054
31,3,31,2,2,3,3,2,4,3,4,3,3,3,3,4,3,0,0,0,0,0,2.909090909,3.333333333,0,2.948402948,3.468468468,.654054054
32,3,32,2,3,1,1,1,2,1,2,1,2,2,1,1,3,1,0,0,0,0,1.636363636,1.666666667,.2,2.948402948,3.468468468,.654054054
33,3,33,2,2,2,4,2,4,2,2,2,2,4,4,4,4,1,1,0,1,3,2.545454545,4,1.2,2.948402948,3.468468468,.654054054
34,3,34,2,2,2,3,1,3,2,4,3,4,3,4,5,3,2,0,0,0,0,2.636363636,4,.4,2.948402948,3.468468468,.654054054
35,3,35,1,2,1,1,1,4,1,2,1,1,2,1,4,4,3,3,1,2,2,1.545454545,3,2.2,2.948402948,3.468468468,.654054054
36,3,36,5,4,5,4,4,3,3,4,4,4,5,5,4,4,0,0,0,0,2,4.090909091,4.333333333,.4,2.948402948,3.468468468,.654054054
37,3,37,3,4,3,4,3,4,3,3,2,3,3,3,2,4,0,0,0,0,0,3.181818182,3,0,2.948402948,3.468468468,.654054054
38,3,38,3,3,3,5,4,4,3,3,4,2,4,3,4,3,3,1,0,1,2,3.454545455,3.333333333,1.4,2.948402948,3.468468468,.654054054
39,3,39,2,2,2,3,1,1,3,3,3,3,2,2,4,3,1,0,0,0,0,2.272727273,3,.2,2.948402948,3.468468468,.654054054
40,3,40,4,4,2,2,2,3,2,2,2,2,2,2,2,2,0,0,0,0,0,2.454545455,2,0,2.948402948,3.468468468,.654054054
41,3,41,5,5,3,1,3,4,3,4,3,4,4,3,5,5,0,0,0,0,0,3.545454545,4.333333333,0,2.948402948,3.468468468,.654054054
42,3,42,5,4,1,4,1,4,2,4,2,3,3,4,2,4,3,2,4,2,1,3,3.333333333,2.4,2.948402948,3.468468468,.654054054
43,3,43,3,3,2,3,2,3,2,3,3,3,3,3,3,3,0,0,0,0,0,2.727272727,3,0,2.948402948,3.468468468,.654054054
44,3,44,4,2,2,3,2,4,3,4,4,4,4,4,4,4,1,0,0,0,1,3.272727273,4,.4,2.948402948,3.468468468,.654054054
45,3,45,3,4,2,3,3,4,4,4,3,3,4,4,4,4,0,0,0,0,0,3.363636364,4,0,2.948402948,3.468468468,.654054054
46,3,46,1,3,1,3,1,4,1,4,2,4,2,4,3,3,2,2,0,0,1,2.363636364,3.333333333,1,2.948402948,3.468468468,.654054054
47,3,47,1,3,1,1,1,4,1,4,1,4,3,1,5,4,2,1,1,4,1,2.181818182,3.333333333,1.8,2.948402948,3.468468468,.654054054
48,3,48,1,1,1,1,2,3,1,2,1,2,3,5,5,5,1,0,0,1,1,1.636363636,5,.6,2.948402948,3.468468468,.654054054
49,3,49,4,4,2,4,3,4,4,4,2,4,4,4,4,4,2,1,0,1,1,3.545454545,4,1,2.948402948,3.468468468,.654054054
50,3,50,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,3,3,0,2.948402948,3.468468468,.654054054
51,3,51,3,5,3,5,1,5,1,4,1,4,3,2,4,4,4,0,4,4,3,3.181818182,3.333333333,3,2.948402948,3.468468468,.654054054
52,3,52,4,4,2,4,3,4,2,3,4,4,4,3,4,3,1,1,1,0,1,3.454545455,3.333333333,.8,2.948402948,3.468468468,.654054054
53,3,53,4,2,4,4,3,4,4,4,4,4,5,5,5,5,0,0,0,0,0,3.818181818,5,0,2.948402948,3.468468468,.654054054
54,3,54,5,5,5,5,5,5,5,5,3,3,5,5,5,5,0,0,0,0,0,4.636363636,5,0,2.948402948,3.468468468,.654054054
55,3,55,3,4,2,2,2,4,2,4,2,4,2,3,4,4,1,0,0,0,0,2.818181818,3.666666667,.2,2.948402948,3.468468468,.654054054
56,3,56,4,4,2,2,2,2,2,2,4,4,2,2,2,2,1,0,1,1,2,2.727272727,2,1,2.948402948,3.468468468,.654054054
57,3,57,2,4,2,1,4,4,2,2,2,4,2,2,2,2,2,0,0,0,0,2.636363636,2,.4,2.948402948,3.468468468,.654054054
58,3,58,4,4,4,4,3,5,3,4,4,4,4,3,3,4,1,0,0,0,0,3.909090909,3.333333333,.2,2.948402948,3.468468468,.654054054
59,3,59,2,4,3,3,2,4,3,4,3,4,4,3,3,3,0,0,0,0,0,3.272727273,3,0,2.948402948,3.468468468,.654054054
60,3,60,1,3,3,1,1,3,1,3,1,1,1,1,3,1,1,4,4,4,4,1.727272727,1.666666667,3.4,2.948402948,3.468468468,.654054054
61,3,61,2,4,2,2,1,5,3,5,3,5,4,5,5,5,0,0,0,0,0,3.272727273,5,0,2.948402948,3.468468468,.654054054
62,4,62,4,3,3,2,4,4,3,3,1,2,4,4,4,4,0,0,0,1,0,3,4,.2,2.725252525,3.42962963,.995555556
63,4,63,3,4,1,3,1,4,2,4,2,4,1,1,4,4,4,4,4,4,4,2.636363636,3,4,2.725252525,3.42962963,.995555556
64,4,64,4,4,4,1,4,4,4,4,4,4,4,3,4,4,3,0,3,0,0,3.727272727,3.666666667,1.2,2.725252525,3.42962963,.995555556
65,4,65,1,3,1,2,2,4,1,4,2,4,2,3,4,4,3,1,0,0,1,2.363636364,3.666666667,1,2.725252525,3.42962963,.995555556
66,4,66,4,4,1,2,2,3,2,3,2,2,2,2,2,2,2,0,0,0,0,2.454545455,2,.4,2.725252525,3.42962963,.995555556
67,4,67,1,1,1,1,1,1,2,3,1,3,1,1,1,1,2,0,4,0,0,1.454545455,1,1.2,2.725252525,3.42962963,.995555556
68,4,68,3,3,1,2,2,2,2,2,2,2,3,2,2,1,4,3,3,3,3,2.181818182,1.666666667,3.2,2.725252525,3.42962963,.995555556
69,4,69,2,2,1,1,1,1,2,4,1,4,4,2,5,3,4,2,2,2,2,2.090909091,3.333333333,2.4,2.725252525,3.42962963,.995555556
70,4,70,4,4,2,1,3,4,4,4,4,4,4,1,4,4,1,0,0,0,0,3.454545455,3,.2,2.725252525,3.42962963,.995555556
71,4,71,4,4,2,1,3,3,1,4,1,1,3,3,1,4,2,2,0,0,1,2.454545455,2.666666667,1,2.725252525,3.42962963,.995555556
72,4,72,3,4,3,3,3,3,4,4,4,4,4,4,4,4,0,0,0,0,0,3.545454545,4,0,2.725252525,3.42962963,.995555556
73,4,73,3,4,1,2,4,1,4,1,2,1,2,5,4,5,4,4,3,4,3,2.272727273,4.666666667,3.6,2.725252525,3.42962963,.995555556
74,4,74,1,1,2,2,3,3,1,3,1,3,2,2,4,4,0,0,0,0,0,2,3.333333333,0,2.725252525,3.42962963,.995555556
75,4,75,2,4,1,1,1,2,1,4,1,4,1,1,1,2,4,2,4,4,3,2,1.333333333,3.4,2.725252525,3.42962963,.995555556
76,4,76,4,4,3,4,3,3,4,3,4,4,4,4,5,5,1,0,1,1,1,3.636363636,4.666666667,.8,2.725252525,3.42962963,.995555556
77,4,77,3,1,1,2,1,1,1,2,1,1,1,1,3,4,4,4,4,4,4,1.363636364,2.666666667,4,2.725252525,3.42962963,.995555556
78,4,78,3,4,2,2,3,4,4,4,4,4,3,4,4,4,0,0,0,0,0,3.363636364,4,0,2.725252525,3.42962963,.995555556
79,4,79,4,4,2,4,3,3,3,4,3,4,3,4,4,4,2,1,0,0,0,3.363636364,4,.6,2.725252525,3.42962963,.995555556
80,4,80,5,4,3,3,1,1,1,1,3,1,1,3,2,3,0,0,0,0,0,2.181818182,2.666666667,0,2.725252525,3.42962963,.995555556
81,4,81,3,3,3,3,3,3,3,3,3,3,4,3,3,3,0,0,0,0,0,3.090909091,3,0,2.725252525,3.42962963,.995555556
82,4,82,4,3,3,3,3,3,3,3,3,4,3,4,4,4,2,0,0,0,0,3.181818182,4,.4,2.725252525,3.42962963,.995555556
83,4,83,3,4,2,4,2,3,3,3,3,4,4,4,4,4,1,0,0,0,0,3.181818182,4,.2,2.725252525,3.42962963,.995555556
84,4,84,2,2,1,1,2,5,2,2,1,4,1,4,5,5,0,0,0,0,0,2.090909091,4.666666667,0,2.725252525,3.42962963,.995555556
85,4,85,2,3,1,1,1,4,1,3,1,4,1,4,4,3,1,0,0,0,0,2,3.666666667,.2,2.725252525,3.42962963,.995555556
86,4,86,2,4,2,2,1,4,1,4,2,4,2,4,5,5,4,0,0,0,2,2.545454545,4.666666667,1.2,2.725252525,3.42962963,.995555556
87,4,87,3,3,1,1,1,1,2,3,1,1,1,1,5,1,4,3,4,4,2,1.636363636,2.333333333,3.4,2.725252525,3.42962963,.995555556
88,4,88,1,4,1,1,1,3,1,4,2,3,2,3,5,5,0,0,0,0,0,2.090909091,4.333333333,0,2.725252525,3.42962963,.995555556
89,4,89,1,2,1,1,1,2,1,3,2,2,2,1,1,1,2,0,0,0,0,1.636363636,1,.4,2.725252525,3.42962963,.995555556
90,4,90,3,4,3,5,2,3,4,4,4,4,4,3,5,4,0,0,0,0,0,3.636363636,4,0,2.725252525,3.42962963,.995555556
91,4,91,4,4,1,4,3,3,3,2,2,1,4,3,4,4,1,0,1,0,0,2.818181818,3.666666667,.4,2.725252525,3.42962963,.995555556
92,4,92,3,4,2,3,3,3,2,2,3,3,4,4,4,4,1,1,0,1,0,2.909090909,4,.6,2.725252525,3.42962963,.995555556
93,4,93,1,1,1,1,2,4,4,4,2,2,5,4,4,5,3,1,4,0,0,2.454545455,4.333333333,1.6,2.725252525,3.42962963,.995555556
94,4,94,3,2,1,1,3,3,2,4,2,2,3,4,4,4,0,0,0,0,0,2.363636364,4,0,2.725252525,3.42962963,.995555556
95,4,95,3,5,3,1,4,4,4,4,4,3,4,4,4,5,0,0,0,0,0,3.545454545,4.333333333,0,2.725252525,3.42962963,.995555556
96,4,96,3,5,4,5,4,5,5,5,5,5,5,5,5,4,0,0,0,0,0,4.636363636,4.666666667,0,2.725252525,3.42962963,.995555556
97,4,97,4,4,4,4,3,4,4,4,4,4,4,4,4,4,1,0,0,0,0,3.909090909,4,.2,2.725252525,3.42962963,.995555556
98,4,98,1,3,1,1,1,3,1,2,1,3,1,4,2,2,1,0,3,2,1,1.636363636,2.666666667,1.4,2.725252525,3.42962963,.995555556
99,4,99,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,1,1,1,3,3,.8,2.725252525,3.42962963,.995555556
100,4,100,2,3,1,1,1,4,2,3,1,1,2,2,4,4,3,1,2,3,0,1.909090909,3.333333333,1.8,2.725252525,3.42962963,.995555556
101,4,101,3,2,4,2,3,3,3,3,4,3,4,4,2,4,1,0,1,0,0,3.090909091,3.333333333,.4,2.725252525,3.42962963,.995555556
102,4,102,3,4,2,1,1,4,1,4,1,4,1,1,5,5,4,3,4,4,3,2.363636364,3.666666667,3.6,2.725252525,3.42962963,.995555556
103,4,103,3,3,4,1,1,5,2,4,1,4,3,2,4,4,2,0,1,0,0,2.818181818,3.333333333,.6,2.725252525,3.42962963,.995555556
104,4,104,4,4,3,3,4,4,4,4,4,4,4,4,4,4,1,0,0,0,0,3.818181818,4,.2,2.725252525,3.42962963,.995555556
105,4,105,4,2,3,3,3,3,4,4,4,4,3,3,3,3,0,0,0,0,0,3.363636364,3,0,2.725252525,3.42962963,.995555556
106,4,106,3,4,2,4,4,5,3,3,2,4,3,3,4,5,1,0,0,0,0,3.363636364,4,.2,2.725252525,3.42962963,.995555556
107,5,107,3,3,3,1,3,3,5,4,1,4,4,5,4,4,0,0,0,0,0,3.090909091,4.333333333,0,2.858934169,3.706896552,.813793103
108,5,108,4,5,4,5,4,4,4,4,4,4,5,4,4,4,0,1,0,0,0,4.272727273,4,.2,2.858934169,3.706896552,.813793103
109,5,109,3,3,3,3,3,3,3,3,4,4,4,4,3,4,1,0,0,0,0,3.272727273,3.666666667,.2,2.858934169,3.706896552,.813793103
110,5,110,3,2,2,1,2,4,3,2,3,3,2,2,5,5,2,2,2,0,0,2.454545455,4,1.2,2.858934169,3.706896552,.813793103
111,5,111,3,2,2,4,1,4,1,4,1,4,3,1,5,5,3,1,1,0,0,2.636363636,3.666666667,1,2.858934169,3.706896552,.813793103
112,5,112,2,4,4,4,1,2,2,4,3,4,4,3,4,4,0,0,2,0,0,3.090909091,3.666666667,.4,2.858934169,3.706896552,.813793103
113,5,113,4,5,4,4,3,4,3,4,3,4,4,3,4,5,1,0,0,0,0,3.818181818,4,.2,2.858934169,3.706896552,.813793103
114,5,114,4,4,3,2,2,4,4,3,4,3,4,3,4,4,1,0,0,0,0,3.363636364,3.666666667,.2,2.858934169,3.706896552,.813793103
115,5,115,3,4,1,2,1,4,4,5,4,4,1,4,4,4,0,0,0,0,0,3,4,0,2.858934169,3.706896552,.813793103
116,5,116,4,4,2,4,4,4,4,4,2,2,4,4,5,5,1,0,0,0,0,3.454545455,4.666666667,.2,2.858934169,3.706896552,.813793103
117,5,117,3,4,4,2,3,3,2,4,4,4,2,4,4,4,0,0,1,0,0,3.181818182,4,.2,2.858934169,3.706896552,.813793103
118,5,118,3,2,2,2,2,2,3,3,3,3,3,2,4,4,3,0,1,1,1,2.545454545,3.333333333,1.2,2.858934169,3.706896552,.813793103
119,5,119,2,1,1,3,3,3,3,2,2,2,1,4,5,5,4,1,1,1,3,2.090909091,4.666666667,2,2.858934169,3.706896552,.813793103
120,5,120,3,4,2,4,3,4,3,4,3,4,5,4,4,4,1,0,1,1,1,3.545454545,4,.8,2.858934169,3.706896552,.813793103
121,5,121,1,4,2,3,1,5,1,4,2,4,4,4,4,4,1,0,1,0,0,2.818181818,4,.4,2.858934169,3.706896552,.813793103
122,5,122,1,3,1,2,1,1,2,2,1,1,1,4,4,4,2,0,1,0,0,1.454545455,4,.6,2.858934169,3.706896552,.813793103
123,5,123,4,4,4,4,4,4,5,5,4,4,4,5,5,5,1,0,0,0,0,4.181818182,5,.2,2.858934169,3.706896552,.813793103
124,5,124,3,4,3,2,3,4,3,4,2,4,3,4,4,4,3,3,4,4,4,3.181818182,4,3.6,2.858934169,3.706896552,.813793103
125,5,125,2,3,3,4,2,4,2,4,3,4,3,4,4,4,0,0,0,0,0,3.090909091,4,0,2.858934169,3.706896552,.813793103
126,5,126,3,4,1,3,3,4,3,3,2,4,3,5,4,4,0,0,0,0,0,3,4.333333333,0,2.858934169,3.706896552,.813793103
127,5,127,1,3,2,2,2,3,3,3,2,3,2,3,4,4,0,0,0,0,0,2.363636364,3.666666667,0,2.858934169,3.706896552,.813793103
128,5,128,5,5,3,4,1,4,3,3,5,5,1,4,4,4,1,0,0,0,0,3.545454545,4,.2,2.858934169,3.706896552,.813793103
129,5,129,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,3,3,0,2.858934169,3.706896552,.813793103
130,5,130,4,4,1,1,4,1,4,1,4,1,2,4,4,4,0,0,0,0,0,2.454545455,4,0,2.858934169,3.706896552,.813793103
131,5,131,5,5,1,1,1,5,1,5,1,5,1,1,1,3,0,0,0,0,0,2.818181818,1.666666667,0,2.858934169,3.706896552,.813793103
132,5,132,2,4,1,4,2,2,1,1,2,1,1,4,5,5,4,1,4,4,2,1.909090909,4.666666667,3,2.858934169,3.706896552,.813793103
133,5,133,3,3,1,2,3,3,2,4,3,3,2,1,4,4,3,4,1,1,2,2.636363636,3,2.2,2.858934169,3.706896552,.813793103
134,5,134,2,2,2,4,5,2,3,3,2,2,4,5,4,4,2,1,0,0,0,2.818181818,4.333333333,.6,2.858934169,3.706896552,.813793103
135,5,135,3,2,2,1,1,4,1,2,1,4,2,2,4,4,3,0,0,0,1,2.090909091,3.333333333,.8,2.858934169,3.706896552,.813793103
136,5,136,4,3,1,3,3,3,4,4,2,2,2,3,3,4,4,0,4,3,1,2.818181818,3.333333333,2.4,2.858934169,3.706896552,.813793103
137,5,137,3,4,4,3,2,3,3,4,4,4,3,4,5,5,2,1,1,0,1,3.363636364,4.666666667,1,2.858934169,3.706896552,.813793103
138,5,138,3,3,4,4,3,3,3,2,2,3,3,3,3,3,2,1,0,1,1,3,3,1,2.858934169,3.706896552,.813793103
139,5,139,3,2,1,1,1,1,3,3,3,1,1,1,5,5,2,2,0,2,0,1.818181818,3.666666667,1.2,2.858934169,3.706896552,.813793103
140,5,140,4,4,1,3,1,4,1,4,1,4,1,3,4,4,1,1,3,0,1,2.545454545,3.666666667,1.2,2.858934169,3.706896552,.813793103
141,5,141,4,4,4,4,2,4,3,4,4,4,4,4,4,4,0,0,0,0,0,3.727272727,4,0,2.858934169,3.706896552,.813793103
142,5,142,3,5,1,1,1,1,1,4,1,5,1,5,5,5,2,0,2,0,0,2.181818182,5,.8,2.858934169,3.706896552,.813793103
143,5,143,3,3,3,2,3,3,3,4,3,3,2,4,2,2,3,1,3,3,0,2.909090909,2.666666667,2,2.858934169,3.706896552,.813793103
144,5,144,3,3,1,2,2,1,2,1,3,1,3,1,1,1,0,0,0,0,0,2,1,0,2.858934169,3.706896552,.813793103
145,5,145,4,4,4,4,3,3,4,4,3,4,4,4,4,5,1,0,0,0,0,3.727272727,4.333333333,.2,2.858934169,3.706896552,.813793103
146,5,146,3,4,4,4,4,4,4,5,5,5,5,5,5,5,1,1,0,0,1,4.272727273,5,.6,2.858934169,3.706896552,.813793103
147,5,147,2,3,1,1,2,2,2,4,2,4,2,1,4,4,2,1,1,2,1,2.272727273,3,1.4,2.858934169,3.706896552,.813793103
148,5,148,3,3,3,2,3,3,3,3,3,3,4,4,4,3,1,1,1,1,1,3,3.666666667,1,2.858934169,3.706896552,.813793103
149,5,149,3,4,1,2,2,3,1,4,1,4,2,2,3,3,4,1,4,4,2,2.454545455,2.666666667,3,2.858934169,3.706896552,.813793103
150,5,150,3,4,2,2,2,4,3,4,3,3,2,4,4,4,1,0,4,0,0,2.909090909,4,1,2.858934169,3.706896552,.813793103
151,5,151,4,4,4,4,4,3,4,4,4,4,4,4,4,4,0,0,0,0,0,3.909090909,4,0,2.858934169,3.706896552,.813793103
152,5,152,4,5,4,4,3,3,4,4,4,4,3,3,4,4,0,0,0,0,0,3.818181818,3.666666667,0,2.858934169,3.706896552,.813793103
153,5,153,5,5,5,5,4,3,4,4,4,4,5,5,5,5,0,0,0,1,0,4.363636364,5,.2,2.858934169,3.706896552,.813793103
154,5,154,3,3,2,2,2,3,3,3,2,3,2,3,2,2,2,1,4,4,1,2.545454545,2.333333333,2.4,2.858934169,3.706896552,.813793103
155,5,155,1,2,2,1,1,2,2,4,3,4,2,4,4,4,0,0,0,0,0,2.181818182,4,0,2.858934169,3.706896552,.813793103
156,5,156,3,2,2,4,2,2,3,4,3,2,2,4,4,4,0,0,0,0,0,2.636363636,4,0,2.858934169,3.706896552,.813793103
157,5,157,3,4,3,4,3,4,3,3,2,4,3,4,3,4,0,0,0,0,0,3.272727273,3.666666667,0,2.858934169,3.706896552,.813793103
158,5,158,4,2,2,3,3,1,2,2,2,2,1,3,2,2,4,4,4,4,2,2.181818182,2.333333333,3.6,2.858934169,3.706896552,.813793103
159,5,159,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,0,0,0,0,1,2,.8,2.858934169,3.706896552,.813793103
160,5,160,3,3,2,1,3,3,2,2,1,2,2,2,3,3,3,1,1,1,0,2.181818182,2.666666667,1.2,2.858934169,3.706896552,.813793103
161,5,161,3,3,2,3,3,3,2,1,1,2,2,2,3,3,0,0,0,0,0,2.272727273,2.666666667,0,2.858934169,3.706896552,.813793103
162,5,162,5,5,1,3,1,1,1,1,1,1,1,5,5,5,0,0,0,0,0,1.909090909,5,0,2.858934169,3.706896552,.813793103
163,5,163,4,4,3,3,5,4,4,3,3,3,3,4,4,4,0,0,0,0,0,3.545454545,4,0,2.858934169,3.706896552,.813793103
164,5,164,2,2,1,1,2,2,3,2,1,2,2,1,4,5,4,4,1,4,1,1.818181818,3.333333333,2.8,2.858934169,3.706896552,.813793103
165,6,165,4,2,1,3,4,1,2,2,2,2,1,1,2,3,0,0,0,0,0,2.181818182,2,0,3.212121212,2.694444444,.6
166,6,166,3,3,2,1,2,2,1,2,1,2,2,2,2,2,2,0,1,1,0,1.909090909,2,.8,3.212121212,2.694444444,.6
167,6,167,4,3,4,3,5,3,5,4,4,3,5,3,3,3,1,0,0,0,0,3.909090909,3,.2,3.212121212,2.694444444,.6
168,6,168,4,4,4,4,4,5,4,4,4,4,4,1,1,2,2,1,0,0,0,4.090909091,1.333333333,.6,3.212121212,2.694444444,.6
169,6,169,4,3,3,4,4,4,4,4,4,4,4,3,3,3,1,0,1,1,0,3.818181818,3,.6,3.212121212,2.694444444,.6
170,6,170,4,4,4,3,4,4,4,4,3,3,4,4,4,4,1,0,0,0,0,3.727272727,4,.2,3.212121212,2.694444444,.6
171,6,171,5,5,4,3,3,3,3,4,2,2,2,1,3,1,0,0,0,1,0,3.272727273,1.666666667,.2,3.212121212,2.694444444,.6
172,6,172,2,4,2,2,3,4,4,4,1,1,3,2,4,4,3,2,0,0,2,2.727272727,3.333333333,1.4,3.212121212,2.694444444,.6
173,6,173,5,5,5,4,4,4,4,4,4,3,4,4,4,4,3,2,1,0,0,4.181818182,4,1.2,3.212121212,2.694444444,.6
174,6,174,4,3,1,1,2,2,3,3,1,2,4,2,2,2,2,0,0,0,0,2.363636364,2,.4,3.212121212,2.694444444,.6
175,6,175,4,3,3,4,4,3,4,4,3,4,4,3,3,3,1,0,1,0,0,3.636363636,3,.4,3.212121212,2.694444444,.6
176,6,176,3,3,3,1,3,4,3,4,1,1,4,3,3,3,2,1,3,0,0,2.727272727,3,1.2,3.212121212,2.694444444,.6
177,7,177,2,4,2,1,2,4,2,4,2,4,4,2,2,2,1,0,1,1,1,2.818181818,2,.8,3.460606061,3.177777778,.64
178,7,178,4,4,2,4,2,4,2,4,2,4,3,2,4,2,1,0,0,1,0,3.181818182,2.666666667,.4,3.460606061,3.177777778,.64
179,7,179,4,4,2,4,2,4,2,4,2,3,3,2,3,4,1,0,0,0,0,3.090909091,3,.2,3.460606061,3.177777778,.64
180,7,180,4,4,5,4,4,4,4,5,4,5,5,4,4,4,2,0,0,1,0,4.363636364,4,.6,3.460606061,3.177777778,.64
181,7,181,4,4,2,2,2,2,2,3,2,3,4,1,1,2,4,0,1,1,0,2.727272727,1.333333333,1.2,3.460606061,3.177777778,.64
182,7,182,1,3,3,3,3,3,3,3,3,3,2,3,3,3,1,0,4,3,3,2.727272727,3,2.2,3.460606061,3.177777778,.64
183,7,183,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,5,5,0,3.460606061,3.177777778,.64
184,7,184,3,3,2,4,4,4,4,4,2,4,4,1,2,1,2,0,0,0,0,3.454545455,1.333333333,.4,3.460606061,3.177777778,.64
185,7,185,4,4,5,3,4,4,4,4,5,5,4,4,4,4,1,0,0,0,0,4.181818182,4,.2,3.460606061,3.177777778,.64
186,7,186,4,4,3,3,3,3,3,4,3,4,4,3,4,5,2,0,3,3,1,3.454545455,4,1.8,3.460606061,3.177777778,.64
