student_id,school_id,school_belonging,peer_inclusivity,teacher_support,community_activities,small_school,school_context
499,12,1,0,1,1,1,Urban
500,42,1,1,0,1,0,Suburban
501,98,1,1,1,1,0,Rural
502,4,1,0,1,0,1,Suburban
503,84,1,1,1,1,0,Urban
504,92,1,1,0,0,1,Urban
505,92,1,0,1,1,1,Urban
506,6,0,0,1,0,0,Rural
507,14,0,1,0,0,0,Urban
508,119,1,0,1,0,1,Rural
509,35,1,0,1,0,1,Suburban
510,47,1,1,1,0,0,Urban
511,58,1,1,1,1,0,Urban
512,65,1,0,1,0,0,Rural
513,19,0,0,1,0,0,Rural
514,57,1,1,1,0,0,Rural
515,65,1,0,1,1,0,Rural
516,13,0,0,1,0,1,Rural
517,8,0,1,0,0,1,Suburban
518,18,1,1,0,0,1,Rural
519,118,1,1,0,1,0,Urban
520,35,0,0,1,0,1,Suburban
521,87,1,1,1,0,1,Urban
522,114,1,1,1,0,1,Suburban
523,116,1,0,1,1,1,Urban
524,26,0,0,0,0,1,Suburban
525,105,1,1,1,1,1,Rural
526,38,1,0,1,0,0,Suburban
527,84,1,1,1,0,0,Urban
528,66,0,0,1,0,1,Suburban
529,26,0,1,1,0,1,Suburban
530,57,1,1,1,0,0,Rural
531,100,0,0,1,0,0,Suburban
532,25,0,1,0,0,0,Suburban
533,30,1,1,1,1,0,Urban
534,82,1,0,0,1,1,Rural
535,7,0,0,0,0,0,Urban
536,27,1,0,1,1,0,Urban
537,11,0,0,0,1,0,Urban
538,101,1,1,1,1,0,Urban
539,8,1,1,0,0,1,Suburban
540,11,1,1,1,1,0,Urban
541,88,1,1,1,0,1,Urban
542,30,1,0,1,1,0,Urban
543,94,1,1,1,0,1,Urban
544,116,0,1,0,0,1,Urban
545,116,1,1,1,0,1,Urban
546,15,1,0,1,0,0,Suburban
547,56,1,1,1,1,1,Urban
548,35,0,1,0,0,1,Suburban
549,39,1,1,1,1,1,Urban
550,24,1,0,1,0,0,Urban
551,8,1,1,1,0,1,Suburban
552,43,1,0,0,1,0,Urban
553,42,1,0,1,1,0,Suburban
554,84,1,1,1,0,0,Urban
555,41,1,0,1,0,0,Suburban
556,47,1,0,0,1,0,Urban
557,26,1,0,1,0,1,Suburban
558,52,1,1,1,1,1,Urban
559,88,1,1,1,1,1,Urban
560,22,0,0,0,0,0,Urban
561,5,1,1,0,0,0,Rural
562,15,1,0,1,0,0,Suburban
563,36,1,0,1,0,1,Suburban
564,101,0,0,1,1,0,Urban
565,63,1,1,1,1,1,Urban
566,93,1,1,1,1,1,Suburban
567,79,1,0,1,1,0,Suburban
568,91,1,0,1,0,0,Suburban
569,49,1,1,0,1,1,Suburban
570,55,1,0,1,0,1,Suburban
571,72,1,0,1,1,0,Suburban
572,60,1,1,1,0,0,Urban
573,57,1,1,1,1,0,Rural
574,29,0,1,1,1,1,Rural
575,19,1,1,1,0,0,Rural
576,95,1,1,1,0,1,Urban
577,73,0,0,0,1,0,Urban
578,10,0,1,0,0,1,Urban
579,101,1,1,1,1,0,Urban
580,10,1,1,1,1,1,Urban
581,118,1,1,1,0,0,Urban
582,97,1,0,1,0,1,Suburban
583,89,1,1,1,1,1,Suburban
584,57,1,1,0,0,0,Rural
585,54,0,0,0,0,1,Urban
586,56,1,1,0,1,1,Urban
587,68,1,1,1,1,1,Urban
588,117,0,1,0,0,1,Suburban
589,69,1,1,0,0,0,Urban
590,87,1,1,1,1,1,Urban
591,103,1,1,1,1,0,Urban
592,55,1,1,0,1,1,Suburban
593,69,0,0,1,0,0,Urban
594,116,1,1,1,1,1,Urban
595,72,1,1,1,1,0,Suburban
596,81,1,0,1,1,1,Urban
597,1,1,1,1,1,0,Urban
598,118,0,0,0,0,0,Urban
599,114,1,1,1,1,1,Suburban
600,12,0,0,1,0,1,Urban
601,35,1,1,1,0,1,Suburban
602,116,1,1,1,1,1,Urban
603,78,1,1,1,1,0,Suburban
604,112,1,0,1,1,0,Suburban
605,82,1,1,1,1,1,Rural
606,74,1,1,1,0,1,Urban
607,119,1,1,1,1,1,Rural
608,79,1,0,1,0,0,Suburban
609,106,1,1,1,1,0,Urban
610,33,1,0,1,0,0,Rural
611,83,1,1,0,1,0,Suburban
612,98,1,1,1,0,0,Rural
613,109,1,1,1,1,0,Suburban
614,25,1,1,1,1,0,Suburban
615,16,1,1,1,0,0,Suburban
616,8,1,1,0,1,1,Suburban
617,35,1,0,1,1,1,Suburban
618,85,1,1,1,1,0,Urban
619,83,1,1,1,1,0,Suburban
620,46,1,1,1,0,1,Urban
621,11,0,1,0,0,0,Urban
622,61,1,1,1,0,0,Rural
623,44,1,1,1,0,1,Rural
624,11,1,1,1,0,0,Urban
625,11,1,0,1,1,0,Urban
626,22,1,0,0,0,0,Urban
627,85,0,1,1,0,0,Urban
628,91,1,1,1,0,0,Suburban
629,82,0,0,1,1,1,Rural
630,62,1,1,1,1,0,Rural
631,106,0,1,1,0,0,Urban
632,48,1,1,1,1,1,Suburban
633,104,1,0,1,0,1,Urban
634,102,1,0,1,1,1,Urban
635,94,1,1,1,1,1,Urban
636,63,1,1,0,0,1,Urban
637,51,1,1,1,1,1,Suburban
638,45,0,0,1,1,0,Urban
639,111,1,1,1,0,0,Suburban
640,109,1,1,1,1,0,Suburban
641,33,1,0,1,0,0,Rural
642,85,1,1,0,0,0,Urban
643,60,1,0,1,0,0,Urban
644,2,1,1,1,0,1,Urban
645,13,0,1,1,0,1,Rural
646,66,1,1,1,1,1,Suburban
647,57,1,0,1,0,0,Rural
648,43,0,0,0,0,0,Urban
649,45,1,0,1,1,0,Urban
650,31,1,1,1,1,1,Urban
651,10,1,0,1,1,1,Urban
652,23,1,1,1,1,0,Urban
653,86,1,1,1,1,0,Suburban
654,111,1,0,1,1,0,Suburban
655,29,1,1,1,1,1,Rural
656,97,1,1,1,1,1,Suburban
657,31,1,1,1,0,1,Urban
658,78,1,1,1,0,0,Suburban
659,74,1,1,1,1,1,Urban
660,18,1,1,1,0,1,Rural
661,11,1,1,1,0,0,Urban
662,103,1,0,1,1,0,Urban
663,47,1,0,1,1,0,Urban
664,3,1,1,0,0,1,Urban
665,2,1,1,1,1,1,Urban
666,54,1,1,1,1,1,Urban
667,72,1,1,1,1,0,Suburban
668,31,1,1,1,1,1,Urban
669,8,1,0,1,1,1,Suburban
670,43,1,1,1,1,0,Urban
671,48,1,1,1,0,1,Suburban
672,2,1,1,1,1,1,Urban
673,22,1,1,1,1,0,Urban
674,5,0,0,0,1,0,Rural
675,7,1,0,1,1,0,Urban
676,20,0,1,1,0,0,Urban
677,92,1,0,1,1,1,Urban
678,77,1,1,1,0,1,Rural
679,2,1,0,1,0,1,Urban
680,32,1,0,1,0,0,Suburban
681,90,1,1,1,0,0,Suburban
682,3,1,1,1,1,1,Urban
683,41,0,1,0,0,0,Suburban
684,42,0,1,0,0,0,Suburban
685,120,1,0,1,1,1,Rural
686,77,1,1,1,0,1,Rural
687,121,1,1,1,0,1,Rural
688,85,1,0,1,0,0,Urban
689,45,0,0,1,0,0,Urban
690,101,1,1,1,0,0,Urban
691,87,0,1,0,0,1,Urban
692,71,1,1,1,1,1,Rural
693,17,1,1,1,0,0,Urban
694,92,0,0,1,0,1,Urban
695,47,1,1,0,1,0,Urban
696,94,1,1,1,0,1,Urban
697,69,1,1,1,1,0,Urban
698,24,1,1,1,0,0,Urban
699,71,0,0,0,0,1,Rural
700,34,1,0,1,1,1,Urban
701,120,1,1,0,0,1,Rural
702,50,1,1,1,0,0,Urban
703,42,1,1,1,1,0,Suburban
704,33,1,0,1,0,0,Rural
705,27,0,0,1,1,0,Urban
706,78,1,1,1,1,0,Suburban
707,59,1,0,0,0,0,Urban
708,19,1,0,1,1,0,Rural
709,112,1,1,1,1,0,Suburban
710,115,1,0,1,1,1,Urban
711,102,1,1,1,1,1,Urban
712,76,1,1,1,1,1,Rural
713,3,1,1,1,0,1,Urban
714,71,1,1,1,1,1,Rural
715,120,1,1,1,0,1,Rural
716,99,0,0,0,0,0,Suburban
717,25,1,1,1,1,0,Suburban
718,113,0,0,0,0,1,Urban
719,15,1,1,1,1,0,Suburban
720,83,1,1,1,0,0,Suburban
721,60,1,1,1,1,0,Urban
722,83,1,1,1,0,0,Suburban
723,23,0,0,0,0,0,Urban
724,11,0,1,1,0,0,Urban
725,59,1,1,1,1,0,Urban
726,85,1,1,0,0,0,Urban
727,116,1,0,1,1,1,Urban
728,34,0,0,1,0,1,Urban
729,103,0,0,1,0,0,Urban
730,115,0,1,0,0,1,Urban
731,7,1,1,1,0,0,Urban
732,106,1,1,1,1,0,Urban
733,44,1,1,1,1,1,Rural
734,119,1,1,0,0,1,Rural
735,91,0,1,1,1,0,Suburban
736,64,1,1,1,1,0,Suburban
737,114,0,1,1,0,1,Suburban
738,23,1,0,0,0,0,Urban
739,102,1,1,0,1,1,Urban
740,58,1,1,0,0,0,Urban
741,20,1,0,1,0,0,Urban
742,27,1,1,1,0,0,Urban
743,117,1,0,1,1,1,Suburban
744,60,0,1,0,0,0,Urban
745,8,1,1,1,0,1,Suburban
746,101,0,0,1,0,0,Urban
747,67,0,0,0,0,0,Suburban
748,2,1,0,1,0,1,Urban
749,22,1,1,1,1,0,Urban
750,70,1,1,1,0,1,Rural
751,103,1,1,1,1,0,Urban
752,104,1,1,0,0,1,Urban
753,36,1,0,1,1,1,Suburban
754,108,1,1,1,1,1,Suburban
755,24,0,0,1,0,0,Urban
756,12,1,1,1,1,1,Urban
757,81,1,1,1,0,1,Urban
758,22,1,1,1,1,0,Urban
